As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance,Balance Difference,Match Status
22-03-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,88680,88680,0,Match
23-03-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,96017,96017,0,Match
24-03-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,13967,13967,0,Match
25-03-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,3182,88316,-85134,Break
25-03-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,66435,49472,16963,Break
25-03-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,64575,48867,15708,Break
26-03-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,27227,27227,0,Match
27-03-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,95276,95276,0,Match
27-03-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,93833,93833,0,Match
27-03-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,35984,446,35538,Break
28-03-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,88118,68625,19493,Break
28-03-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,73870,73870,0,Match
28-03-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,8146,68632,-60486,Break
30-03-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,19586,19586,0,Match
30-03-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,33098,33098,0,Match
30-03-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,71746,71746,0,Match
02-04-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,32908,32908,0,Match
02-04-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,73124,55668,17456,Break
03-04-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,43960,43960,0,Match
04-04-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,54669,54669,0,Match
04-04-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,5769,5769,0,Match
05-04-2022,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,67470,67470,0,Match
05-04-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,75494,20865,54629,Break
06-04-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,97851,97851,0,Match
06-04-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,9801,60019,-50218,Break
06-04-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,74911,74911,0,Match
07-04-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,91127,91127,0,Match
07-04-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,84003,84003,0,Match
07-04-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,93267,97622,-4355,Break
08-04-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,32309,32309,0,Match
09-04-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,11050,11050,0,Match
09-04-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,74703,74703,0,Match
11-04-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,43814,38077,5737,Break
12-04-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,9356,9356,0,Match
13-04-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,83575,14719,68856,Break
13-04-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,44050,44050,0,Match
13-04-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,42334,42334,0,Match
14-04-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,5701,5701,0,Match
14-04-2022,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,8978,8978,0,Match
14-04-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,96549,92659,3890,Break
15-04-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,81020,81020,0,Match
15-04-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,49444,84156,-34712,Break
16-04-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,29829,29829,0,Match
16-04-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,3703,3703,0,Match
17-04-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,18809,97687,-78878,Break
17-04-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,44252,44252,0,Match
18-04-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,24712,4946,19766,Break
19-04-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,64427,74920,-10493,Break
19-04-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,32095,32095,0,Match
20-04-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,65442,30901,34541,Break
21-04-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,78168,78168,0,Match
21-04-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,27283,27283,0,Match
22-04-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,45363,45363,0,Match
23-04-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,67974,99000,-31026,Break
23-04-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,53087,53087,0,Match
24-04-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,22185,22185,0,Match
24-04-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,77762,77762,0,Match
